id,title,type,description,release_year,age_certification,runtime,genres,contains_US,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts21981,iZombie,SHOW,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.",2015,TV-14,42,"['scifi', 'comedy', 'crime', 'drama', 'horror']",US,['US'],5,tt3501584,7.8,66488,53.416,7.8
ts38710,Wynonna Earp,SHOW,Wyatt Earp's great granddaughter Wynonna battles demons and other creatures with her unique abilities and a posse of dysfunctional allies - the only thing that can bring the paranormal to justice.,2016,TV-14,43,"['action', 'scifi', 'western', 'drama', 'fantasy', 'thriller']",US,"['US', 'CA']",4,tt4878326,7.3,22256,32.006,8
tm120609,"Hail, Caesar!",MOVIE,"When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.",2016,PG-13,106,"['drama', 'comedy', 'music']",US,['US'],,tt0475290,6.3,132821,10.97,5.9
ts35554,Scream: The TV Series,SHOW,"What starts as a YouTube video going viral, soon leads to problems for the teenagers of Lakewood and serves as the catalyst for a murder that opens up a window to the town's troubled past. Everyone has secrets. Everyone tells lies. Everyone is fair game.",2015,TV-14,43,"['crime', 'horror', 'thriller', 'comedy', 'drama']",US,['US'],3,tt3921180,7.1,40082,86.551,6.9
tm233377,The Edge of Seventeen,MOVIE,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",2016,R,104,"['comedy', 'drama']",US,['US'],,tt1878870,7.3,120488,27.428,7.2
ts42014,60 Days In,SHOW,"An unprecedented look at life behind bars at Indiana's Clark County Jail as seven innocent volunteers are sent to live among its general population for 60 days without officers, fellow inmates, or staff knowing their secret.",2016,TV-14,46,['reality'],US,['US'],6,tt10112398,7.6,2616,11.052,6.8
tm193769,Steve Jobs,MOVIE,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",2015,R,122,['drama'],US,"['GB', 'US']",,tt3565344,7.2,166288,13.009,6.8
ts35563,Supergirl,SHOW,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",2015,TV-14,42,"['scifi', 'drama', 'action']",US,['US'],6,tt4016454,6.2,121939,116.295,7.3
ts36129,Crazy Ex-Girlfriend,SHOW,"Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.",2015,TV-14,42,['comedy'],US,['US'],4,tt4094300,7.8,19738,37.838,6.9
tm143984,London Has Fallen,MOVIE,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",2016,R,99,"['thriller', 'crime', 'drama', 'action']",US,"['BG', 'GB', 'US']",,tt3300542,5.9,155997,36.762,6.1
